고객번호,고객회사명,담당자명,담당자직위,주소,도시,지역,전화번호,마일리지
ISDMA,선인 상사,김경태,영업 사원,생연 1동 416-1,동두천시,경기도,(0351)89-1098,631
ITCWH,한영킹푸드,박준영,대표 이사,동대문구 신설동 721-11,서울특별시,,(02)222-1113,9897
LAAHI,성민식품상사,신민주,영업 사원,중앙로 3가 150-1,춘천시,강원도,(0369)39-1243,382
LASLI,조흥식품,지승환,회계 과장,중구 광희동 1가 100-41,서울특별시,,(02)232-9181,22260
LATIS,우양 통상,오명일,마케팅 과장,강남구 개포동 135-24,서울특별시,,(02)813-1111,8722
LEDGA,상미식품,김진혁,마케팅 과장,도봉구 방학 3동 18,서울특별시,,(02)892-4921,917
LIDBO,진흥 상사,송아린,대표 이사,부산진구 당감 3동 611-3,부산광역시,,(051)784-1945,2819
LIGFO,신영 푸드,정지윤,영업 사원,양천구신월 3동 67-18,서울특별시,,(02)211-3421,449
LIRSP,세미원푸드,최해주,영업 과장,남구 소사 3동 146,부천시,경기도,(032)11-9438,7106
LKOFO,진영무역,조희진,대표 이사,중앙동 427-10,과천시,경기도,(02)768-7688,8607
LLIWE,태산무역,박소영,영업 과장,부산진구 양정 1동 462-77,부산광역시,,(051)555-5111,806
LMKWI,태흥푸드,조가영,대표 이사,용산구 동자동 181-7,서울특별시,,(02)812-4864,36960
LZAWO,오뚜락,주민영,대표 이사,건입동 111-16,제주시,제주도,(064)643-2871,8838
MAILA,그린월드푸드 ,이소연,영업 과장,동구 자양동 34-16,대전광역시,,(042)91-1295,428
MEYRO,뉴서울제과,이수호,회계 과장,외삼미동 123-8,오산시,경기도,(033)956-9859,409
MIAFA,푸드웰 통상,정솔미,마케팅 담당,마포구 공덕 1동 81,서울특별시,,(02)866-6667,662
MMICO,헤리토 상사,이성은,영업 사원,노원구 공릉동 178,서울특별시,,(02)878-9174,124
MOBSI,시대 통상,조연희,대표 이사,권선구 세류 3동 116,수원시,경기도,(0331)56-1431,7135
MONDU,진해푸드,이재열,대표 이사,강동구 성내동 143,서울특별시,,(02)444-2971,4036
MSPTO,보라티,김도연,마케팅 과장,중구 원미 1동 120-16,부천시,경기도,(032)110-1238,123
NAPBO,민성 무역,신종수,대표 이사,용산구 갈월동 116-7,서울특별시,,(02)497-4896,10006
NARHA,청운유통,손창민,회계 과장,강제동 57-11,제천시,충청북도,(0443)110-2181,3852
NCHRA,쉐프스푸드,서현지,영업 사원,강서구 화곡 1동 77-3,서울특별시,,(02)342-1111,8717
NDKWA,코리아유통,김지현,영업 사원,강서구 오쇠동 124-7,서울특별시,,(02)132-3845,3967
NEPLO,신푸드,홍지우,영업 과장,고잔동 16,안산시,경기도,(0345)78-1110,1149
NETVI,대두식품,김재경,회계 과장,도봉구 창 1동 218-16,서울특별시,,(02)222-2243,130
NGCHU,대덕종합무역,오용석,영업 사원,동작구 신대방동 10-6,서울특별시,,(02)444-1978,1020
NGOHU,케이티에스씨,오유진,영업 사원,동구 범일 3동 14-1,부산광역시,,(051)820-1993,7795
NODLI,지앤씨푸드,최효신,대표 이사,동작구 노량진 1동 71,서울특별시,,(02)668-1097,1116
NSHCO,은혜식품,이승연,영업 사원,소하동 11-3,광명시,경기도,(02)489-9184,387
NSHER,솜인터내셔널,정다경,영업 과장,중구 도원동 507-16,인천광역시,,(032)921-9284,120
NTCCE,코스리아 무역,유석희,마케팅 과장,남동구 간석 3동 270-8,인천광역시,,(032)944-3687,112
NTGSA,한지생활건강,이영훈,대표 이사,서대문구 미근동 11-7,서울특별시,,(02)108-1298,884
ONPBL,한얼트레이딩,서우진,마케팅 과장,영등포구 당산동 3가 16,서울특별시,,(02)111-2954,903
OPSCH,태화농산,윤성준,대표 이사,강남구 청담동 115,서울특별시,,(02)134-5897,3888
OSRGR,프라하바이오,서한석,대표 이사,서대문구 북아현 3동 36-6,서울특별시,,(02)111-2302,432
OUTAR,엘에이플러스,문인수,영업 사원,남구 연수동 208-16,인천광역시,,(032)976-4568,6851
PRDSU,황인터프라이시스,한현구,회계 과장,용산구서빙고동 111-16,서울특별시,,(02)934-1984,116898
REPME,시아 통상,김동진,마케팅 담당,경현동 160,나주시,전라남도,(061)3450-3400,3873
RGKMO,원양물산,김민준,마케팅 담당,종로구 송월동 101,서울특별시,,(02)402-1092,1092
RGSBE,탑푸드코리아,박건희,영업 과장,서구 도마동 110-6,대전광역시,,(042)92-3778,57746
RIBFU,대림에스엠,김지은,영업 과장,갈현동 232-8,과천시,경기도,(02)421-9238,1064
RICPE,뉴가든상사,김지호,영업 사원,금정구 청룡동 168-14,부산광역시,,(051)12-1122,1177
RISPA,한림통상,김정현,대표 이사,송파구 잠실본동 150,서울특별시,,(02)909-2094,6942
RTHWA,국일식품,박규민,회계 과장,야탑동 77,성남시,경기도,(0342)57-1934,733
RTSNO,지안 통상,김보연,영업 사원,양천구 신정 3동 241-16,서울특별시,,(02)901-8956,793
RTUTO,오트리푸드,김동호,대표 이사,양천구 신정 1동 1041-21,서울특별시,,(02)555-2933,374
SSAFI,대동 무역,정수환,회계 과장,동구 마산동 250-1,대전광역시,,(042)33-3433,975
STCEA,오케이식품,임재민,영업 사원,무릉동 171-3,공주시,충청남도,(046)487-4971,416
TIKOT,티알아이,김유희,대표 이사,호계동 11,안양시,경기도,(0343)988-1039,113
TONAN,그린무역,김정원,대표 이사,강서구 내발산동 318,서울특별시,,(02)989-9889,1213
TSSLE,프레시코,주현욱,대표 이사,남동구 동춘동 78-6,의정부시,경기도,(0351)66-2911,712
TTCRA,허브민트,송지윤,영업 사원,은행동 425-12,시흥시,경기도,(02)565-1901,892
TTMBO,컬러헬스푸드,안수인,회계 과장,사하구 신평동 701-29,부산광역시,,(051)845-9483,7329
TTRAN,해피트리푸드,김희원,영업 과장,동작구 흑석동 220-12,서울특별시,,(02)756-9787,448
UGBLA,금진 무역,이승권,영업 사원,강서구 등촌동 106-3,서울특별시,,(02)894-1111,7296
URLGO,유호무역 ,김하경,영업 사원,태평 3동 120-1,성남시,경기도,(034)877-7778,865
VEASA,코림푸드,장시현,영업 사원,강정동 718-1,서귀포시,제주도,(064)77-2091,1013
VESSE,태성무역,전혜연,영업 과장,동대문구 전농 1동 742-3,서울특별시,,(02)106-2841,414
ZYKLA,길드 통상,장재성,마케팅 과장,학성동 18,원주시,강원도,(037)978-1911,261
