주문번호,고객번호,사원번호,주문일,요청일,발송일
H0380,NGOHU,E07,2020-08-20,2020-09-17,2020-09-24
H0381,LASLI,E03,2020-08-20,2020-09-17,2020-08-21
H0382,NSHER,E04,2020-08-21,2020-09-18,2020-08-24
H0383,OUTAR,E07,2020-08-24,2020-09-21,2020-08-26
H0384,RGSBE,E03,2020-08-24,2020-09-21,2020-08-28
H0385,LIRSP,E01,2020-08-25,2020-09-22,2020-08-31
H0386,MIAFA,E09,2020-08-26,2020-09-09,2020-09-02
H0387,NTGSA,E01,2020-08-26,2020-09-23,2020-08-28
H0388,VESSE,E03,2020-08-27,2020-09-24,2020-08-28
H0389,TTMBO,E04,2020-08-28,2020-09-25,2020-09-01
H0390,NSHER,E06,2020-08-31,2020-09-28,2020-09-03
H0391,ACDDR,E03,2020-08-31,2020-09-28,2020-09-08
H0392,CCOPI,E03,2020-09-01,2020-09-29,2020-09-09
H0393,VEASA,E01,2020-09-02,2020-09-30,2020-09-11
H0394,NGCHU,E01,2020-09-02,2020-09-30,2020-09-11
H0395,LAAHI,E06,2020-09-03,2020-10-01,2020-09-11
H0396,ANKFR,E01,2020-09-04,2020-09-18,2020-09-14
H0397,INIPR,E04,2020-09-04,2020-10-02,2020-09-10
H0398,VEASA,E03,2020-09-07,2020-10-05,2020-09-17
H0399,FFEVA,E07,2020-09-08,2020-09-22,2020-09-16
H0400,STCEA,E01,2020-09-09,2020-10-07,2020-09-24
H0401,TTCRA,E01,2020-09-09,2020-10-07,2020-09-18
H0402,NSHER,E07,2020-09-10,2020-10-22,2020-09-18
H0403,NSHER,E04,2020-09-11,2020-10-09,2020-09-17
H0404,GAAMA,E03,2020-09-11,2020-10-09,2020-09-16
H0405,NODLI,E01,2020-09-14,2020-10-12,2020-09-30
H0406,EENQU,E07,2020-09-15,2020-10-27,2020-09-21
H0407,TIKOT,E03,2020-09-15,2020-10-13,2020-10-08
H0408,LIGFO,E07,2020-09-16,2020-10-14,2020-09-22
H0409,EANOC,E03,2020-09-17,2020-10-15,2020-09-22
H0410,TTMBO,E03,2020-09-18,2020-10-16,2020-09-23
H0411,TTMBO,E09,2020-09-18,2020-10-16,2020-09-29
H0412,RTHWA,E07,2020-09-21,2020-10-19,2020-09-23
H0413,MAILA,E03,2020-09-22,2020-10-20,2020-09-24
H0414,MIAFA,E03,2020-09-22,2020-10-20,2020-09-25
H0415,NGCHU,E03,2020-09-23,2020-10-21,2020-10-02
H0416,RTHWA,E07,2020-09-24,2020-10-22,2020-10-05
H0417,MOBSI,E04,2020-09-24,2020-10-22,2020-10-06
H0418,ICKQU,E04,2020-09-25,2020-10-23,2020-10-02
H0419,CSURI,E04,2020-09-28,2020-10-26,2020-10-08
H0420,LLIWE,E03,2020-09-29,2020-10-27,2020-10-05
H0421,EDEQU,E07,2020-09-29,2020-11-10,2020-10-05
H0422,ANSFR,E03,2020-09-30,2020-10-28,2020-10-09
H0423,URLGO,E06,2020-10-01,2020-10-15,2020-11-02
H0424,REPME,E07,2020-10-01,2020-10-29,2020-10-05
H0425,MAILA,E06,2020-10-02,2020-10-30,2020-10-23
H0426,LEDGA,E04,2020-10-05,2020-11-02,2020-10-15
H0427,CCOPI,E04,2020-10-05,2020-11-02,2020-11-09
H0428,GGCRE,E07,2020-10-06,2020-11-03,2020-10-13
H0429,NGOHU,E03,2020-10-07,2020-11-18,2020-10-16
H0430,NSHER,E04,2020-10-08,2020-10-22,2020-10-12
H0431,TTMBO,E04,2020-10-08,2020-10-22,2020-10-16
H0432,LIRSP,E03,2020-10-09,2020-10-23,2020-10-16
H0433,INIPR,E03,2020-10-12,2020-11-09,2020-11-10
H0434,LKOFO,E03,2020-10-12,2020-11-09,2020-10-22
H0435,NSHCO,E07,2020-10-13,2020-11-24,2020-10-16
H0436,ONPBL,E03,2020-10-14,2020-11-11,2020-10-20
H0437,RTHWA,E07,2020-10-14,2020-11-11,2020-10-21
H0438,MSPTO,E03,2020-10-15,2020-11-12,2020-10-23
H0439,REPME,E06,2020-10-16,2020-11-13,2020-10-19
H0440,VEASA,E04,2020-10-19,2020-11-16,2020-11-06
H0441,DWOOL,E03,2020-10-19,2020-11-30,2020-11-20
H0442,NSHER,E03,2020-10-20,2020-11-17,2020-10-27
H0443,GGCRE,E07,2020-10-21,2020-11-18,2020-10-23
H0444,RGSBE,E03,2020-10-21,2020-11-18,2020-10-30
H0445,RGSBE,E03,2020-10-22,2020-11-19,2020-10-29
H0446,MSPTO,E06,2020-10-23,2020-11-20,2020-10-28
H0447,CARRI,E04,2020-10-23,2020-11-20,2020-11-13
H0448,NCHRA,E04,2020-10-26,2020-11-23,2020-11-02
H0449,ONPBL,E03,2020-10-27,2020-11-24,2020-11-05
H0450,CTEVI,E07,2020-10-28,2020-11-25,2020-11-17
H0451,ICKQU,E04,2020-10-28,2020-11-11,2020-11-18
H0452,VEASA,E07,2020-10-29,2020-11-26,2020-11-04
H0453,OUTAR,E01,2020-10-30,2020-11-27,2020-11-04
H0454,MAILA,E04,2020-10-30,2020-11-27,2020-11-03
H0455,RTHWA,E07,2020-11-02,2020-12-14,2020-11-09
H0456,ENEKO,E07,2020-11-03,2020-12-15,2020-11-06
H0457,ENEKO,E03,2020-11-03,2020-12-01,2020-11-09
H0458,PRDSU,E07,2020-11-04,2020-12-02,2020-11-10
H0459,CTEVI,E04,2020-11-05,2020-12-03,2020-11-06
H0460,LKOFO,E07,2020-11-06,2020-12-04,2020-11-09
H0461,LASLI,E01,2020-11-06,2020-12-04,2020-11-11
H0462,NSHCO,E03,2020-11-09,2020-12-07,2020-11-24
H0463,PRDSU,E04,2020-11-10,2020-12-08,2020-11-12
H0464,RIBFU,E04,2020-11-10,2020-12-08,2020-11-20
H0465,FFEVA,E01,2020-11-11,2020-12-09,2020-11-20
H0466,MMICO,E04,2020-11-12,2020-12-10,2020-11-19
H0467,GAAMA,E07,2020-11-12,2020-12-10,2020-11-17
H0468,ENEKO,E03,2020-11-13,2020-12-11,2020-11-18
H0469,ITCWH,E01,2020-11-16,2020-12-14,2020-11-20
H0470,NAPBO,E04,2020-11-17,2020-12-15,2020-11-20
H0471,BEVBS,E03,2020-11-17,2020-12-15,2020-11-24
H0472,VESSE,E07,2020-11-18,2020-12-16,2020-11-25
H0473,LATIS,E01,2020-11-19,2020-12-03,2020-11-27
H0474,RICPE,E04,2020-11-19,2020-12-17,2020-11-27
H0475,PRDSU,E09,2020-11-20,2020-12-18,2020-12-11
H0476,LAAHI,E07,2020-11-23,2020-12-21,2020-11-30
H0477,INIPR,E04,2020-11-23,2020-12-21,2020-12-01
H0478,CTEVI,E03,2020-11-24,2020-12-08,2020-12-02
H0479,TTCRA,E03,2020-11-25,2020-12-23,2020-11-27
H0480,LIGFO,E06,2020-11-26,2020-12-24,2020-11-30
H0481,CARRI,E07,2020-11-26,2020-12-24,2020-12-01
H0482,ZYKLA,E01,2020-11-27,2020-12-25,2020-12-17
H0483,ITCWH,E07,2020-11-30,2020-12-28,2021-01-01
H0484,BEVBS,E03,2020-11-30,2020-12-28,2020-12-08
H0485,NODLI,E04,2020-12-01,2020-12-15,2020-12-07
H0486,LAAHI,E01,2020-12-02,2020-12-30,2020-12-09
H0487,EENQU,E03,2020-12-02,2020-12-30,2020-12-04
H0488,ANKFR,E07,2020-12-03,2020-12-31,2020-12-09
H0489,CCOPI,E06,2020-12-04,2021-01-01,2020-12-16
H0490,LAAHI,E07,2020-12-07,2021-01-04,2020-12-10
H0491,RIBFU,E07,2020-12-07,2021-01-04,2020-12-15
H0492,TTMBO,E03,2020-12-08,2021-01-05,2020-12-18
H0493,MAILA,E04,2020-12-09,2021-01-06,2020-12-17
H0494,MMICO,E04,2020-12-09,2021-01-06,2020-12-16
H0495,UGBLA,E03,2020-12-10,2021-01-07,2020-12-18
H0496,ADHTR,E07,2020-12-11,2021-01-08,2020-12-14
H0497,HMSLE,E07,2020-12-11,2021-01-08,2020-12-14
H0498,LAAHI,E07,2020-12-14,2021-01-11,2020-12-18
H0499,LASLI,E04,2020-12-15,2021-01-12,2020-12-23
H0500,MAILA,E06,2020-12-16,2021-01-13,2020-12-24
H0501,AUSBL,E09,2020-12-16,2021-01-13,2020-12-23
H0502,RICPE,E03,2020-12-17,2021-01-14,2021-01-05
H0503,NGOHU,E06,2020-12-18,2021-01-15,2020-12-23
H0504,ITCWH,E04,2020-12-18,2021-01-15,2020-12-25
H0505,REPME,E03,2020-12-21,2021-01-18,2020-12-28
H0506,ENEKO,E09,2020-12-22,2021-01-19,2021-01-08
H0507,TONAN,E07,2020-12-22,2021-01-19,2020-12-29
H0508,TIKOT,E01,2020-12-23,2021-01-20,2021-01-19
H0509,AUSBL,E04,2020-12-24,2021-01-21,2021-01-05
H0510,VEASA,E06,2020-12-25,2021-01-22,2021-01-04
H0511,NAPBO,E04,2020-12-25,2021-01-22,2020-12-28
H0512,MIAFA,E07,2020-12-28,2021-01-25,2020-12-31
H0513,NDKWA,E07,2020-12-29,2021-02-09,2021-01-04
H0514,NSHER,E03,2020-12-29,2021-01-26,2021-01-22
H0515,ICKQU,E03,2020-12-30,2021-01-13,2021-01-29
H0516,NGOHU,E03,2020-12-31,2021-01-28,2021-01-07
H0517,RTSNO,E03,2020-12-31,2021-01-28,2021-01-05
H0518,RTUTO,E04,2021-01-01,2021-01-15,2021-01-11
H0519,OPSCH,E06,2021-01-04,2021-02-01,2021-01-07
H0520,NTGSA,E07,2021-01-05,2021-02-02,2021-01-07
H0521,CTUCA,E07,2021-01-05,2021-02-02,2021-01-08
H0522,HMSLE,E04,2021-01-06,2021-02-03,2021-01-12
H0523,VESSE,E07,2021-01-07,2021-02-04,2021-02-05
H0524,RGSBE,E01,2021-01-07,2021-02-04,2021-01-13
H0525,NAPBO,E01,2021-01-08,2021-02-05,2021-01-29
H0526,RTHWA,E04,2021-01-11,2021-02-08,2021-01-21
H0527,ICKQU,E07,2021-01-11,2021-02-08,2021-01-13
H0528,EALGR,E06,2021-01-12,2021-01-26,2021-01-15
H0529,ISDMA,E04,2021-01-13,2021-02-10,2021-01-15
H0530,CCOPI,E03,2021-01-14,2021-02-11,2021-01-18
H0531,EANOC,E07,2021-01-14,2021-02-11,2021-01-25
H0532,STCEA,E07,2021-01-15,2021-02-12,2021-01-18
H0533,LKOFO,E07,2021-01-18,2021-02-15,2021-01-28
H0534,HMSLE,E07,2021-01-18,2021-02-15,2021-01-20
H0535,TONAN,E04,2021-01-19,2021-02-16,2021-01-27
H0536,HMSLE,E03,2021-01-20,2021-02-17,2021-02-12
H0537,CSURI,E01,2021-01-20,2021-02-03,2021-01-25
H0538,BEVBS,E09,2021-01-21,2021-02-18,2021-01-22
H0539,BEVBS,E06,2021-01-22,2021-02-19,2021-01-29
H0540,ICKQU,E03,2021-01-25,2021-02-22,2021-02-19
H0541,NARHA,E03,2021-01-25,2021-02-22,2021-02-04
H0542,ENEKO,E01,2021-01-26,2021-02-23,2021-02-01
H0543,LASLI,E07,2021-01-27,2021-02-24,2021-01-29
H0544,NEPLO,E04,2021-01-27,2021-02-24,2021-02-05
H0545,ZYKLA,E07,2021-01-28,2021-02-25,2021-03-04
H0546,CTEVI,E01,2021-01-29,2021-02-26,2021-02-02
H0547,VESSE,E03,2021-01-29,2021-02-26,2021-02-08
H0548,MSPTO,E03,2021-02-01,2021-03-01,2021-02-08
H0549,ICKQU,E04,2021-02-02,2021-02-16,2021-02-05
H0550,DOSGO,E07,2021-02-03,2021-03-03,2021-02-12
H0551,RIBFU,E04,2021-02-03,2021-03-17,2021-02-12
H0552,LAAHI,E03,2021-02-04,2021-03-04,2021-02-11
H0553,RTHWA,E03,2021-02-05,2021-03-05,2021-02-09
H0554,TIKOT,E04,2021-02-05,2021-03-05,2021-02-11
H0555,VEASA,E06,2021-02-08,2021-03-08,2021-02-10
H0556,MOBSI,E03,2021-02-09,2021-03-23,2021-02-19
H0557,HMSLE,E09,2021-02-09,2021-02-23,2021-02-12
H0558,OUTAR,E01,2021-02-10,2021-03-10,2021-02-16
H0559,ONPBL,E06,2021-02-11,2021-03-11,2021-02-19
H0560,ANKFR,E07,2021-02-12,2021-03-12,2021-02-15
H0561,LKOFO,E03,2021-02-12,2021-03-12,2021-02-15
H0562,GGCRE,E01,2021-02-15,2021-03-15,2021-02-18
H0563,CARRI,E03,2021-02-16,2021-03-30,2021-03-02
H0564,TTCRA,E04,2021-02-16,2021-03-16,2021-02-22
H0565,REPME,E07,2021-02-17,2021-03-17,2021-02-24
H0566,ONPBL,E09,2021-02-18,2021-03-18,2021-02-24
H0567,NGOHU,E01,2021-02-18,2021-03-18,2021-02-23
H0568,LEDGA,E03,2021-02-19,2021-03-19,2021-03-17
H0569,TTCRA,E04,2021-02-22,2021-03-22,2021-03-19
H0570,REPME,E03,2021-02-23,2021-03-23,2021-02-25
H0571,NSHER,E07,2021-02-23,2021-04-06,2021-03-12
H0572,RGSBE,E03,2021-02-24,2021-03-24,2021-03-03
H0573,TONAN,E07,2021-02-25,2021-03-25,2021-02-26
H0574,AIHTR,E04,2021-02-25,2021-03-25,2021-03-08
H0575,RGKMO,E04,2021-02-26,2021-03-12,2021-03-08
H0576,RTUTO,E03,2021-03-01,2021-03-15,2021-03-08
H0577,AIHTR,E09,2021-03-01,2021-04-12,2021-03-08
H0578,BEVBS,E04,2021-03-02,2021-03-30,2021-04-02
H0579,TSSLE,E01,2021-03-03,2021-03-31,2021-03-12
H0580,TIKOT,E04,2021-03-04,2021-04-01,2021-03-09
H0581,MIAFA,E03,2021-03-04,2021-04-01,2021-03-10
H0582,AUSBL,E03,2021-03-05,2021-04-02,2021-03-22
H0583,RTHWA,E03,2021-03-08,2021-04-05,2021-03-12
H0584,ONPBL,E04,2021-03-08,2021-04-05,2021-03-12
H0585,LLIWE,E07,2021-03-09,2021-04-06,2021-03-18
H0586,GGCRE,E09,2021-03-10,2021-04-07,2021-03-17
H0587,EDEQU,E01,2021-03-10,2021-04-07,2021-03-17
H0588,ICKQU,E03,2021-03-11,2021-04-08,2021-03-18
H0589,EALGR,E07,2021-03-12,2021-04-09,2021-03-22
H0590,REPME,E04,2021-03-15,2021-04-12,2021-03-22
H0591,FFEVA,E01,2021-03-15,2021-03-29,2021-03-24
H0592,HMSLE,E03,2021-03-16,2021-04-13,2021-03-24
H0593,HMSLE,E07,2021-03-17,2021-04-14,2021-04-21
H0594,DWOOL,E03,2021-03-17,2021-04-14,2021-03-24
H0595,NSHER,E03,2021-03-18,2021-04-15,2021-03-22
H0596,ITCWH,E07,2021-03-19,2021-04-16,2021-04-20
H0597,CCOPI,E07,2021-03-19,2021-04-16,2021-03-26
H0598,TTCRA,E01,2021-03-22,2021-04-19,2021-03-26
H0599,BEVBS,E06,2021-03-23,2021-05-04,2021-03-29
H0600,NGCHU,E04,2021-03-24,2021-04-21,2021-03-29
H0601,LAAHI,E07,2021-03-24,2021-05-05,2021-03-30
H0602,FFEVA,E07,2021-03-25,2021-04-22,2021-03-30
H0603,VEASA,E07,2021-03-26,2021-04-23,2021-04-16
H0604,RIBFU,E01,2021-03-26,2021-04-23,2021-04-06
H0605,REPME,E01,2021-03-29,2021-04-26,2021-04-06
H0606,ADHTR,E04,2021-03-30,2021-04-27,2021-04-08
H0607,VEASA,E04,2021-03-30,2021-04-27,2021-04-02
H0608,MSPTO,E04,2021-03-31,2021-04-28,2021-04-09
H0609,MONDU,E07,2021-04-01,2021-04-29,2021-04-07
H0610,MAILA,E07,2021-04-02,2021-04-30,2021-04-14
H0611,LZAWO,E06,2021-04-02,2021-04-30,2021-04-09
H0612,VEASA,E01,2021-04-05,2021-05-03,2021-04-09
H0613,LAAHI,E04,2021-04-06,2021-05-04,2021-04-09
H0614,AUSBL,E07,2021-04-06,2021-05-04,2021-04-09
H0615,LMKWI,E03,2021-04-07,2021-05-05,2021-04-14
H0616,EALGR,E01,2021-04-08,2021-05-06,2021-04-13
H0617,EALGR,E04,2021-04-08,2021-05-06,2021-04-12
H0618,REPME,E01,2021-04-09,2021-05-21,2021-04-16
H0619,REPME,E03,2021-04-12,2021-05-10,2021-04-15
H0620,UGBLA,E03,2021-04-13,2021-05-11,2021-04-22
H0621,LATIS,E04,2021-04-13,2021-05-11,2021-04-19
H0622,CARRI,E04,2021-04-14,2021-05-12,2021-04-19
H0623,ANKFR,E07,2021-04-15,2021-05-13,2021-04-20
H0624,ECRTH,E04,2021-04-15,2021-05-13,2021-04-27
H0625,ATRAN,E03,2021-04-16,2021-05-14,2021-04-22
H0626,RGSBE,E01,2021-04-19,2021-05-17,2021-04-28
H0627,VEASA,E07,2021-04-19,2021-05-31,2021-04-29
H0628,ONPBL,E04,2021-04-20,2021-05-18,2021-04-28
H0629,DOSGO,E04,2021-04-20,2021-05-18,2021-04-28
H0630,ENEKO,E01,2021-04-21,2021-05-19,2021-04-27
H0631,MAILA,E07,2021-04-22,2021-05-20,2021-04-23
H0632,NDKWA,E07,2021-04-22,2021-05-20,2021-04-27
H0633,NSHER,E07,2021-04-23,2021-05-21,2021-04-26
H0634,LIGFO,E04,2021-04-23,2021-05-21,2021-04-29
H0635,GAAMA,E07,2021-04-26,2021-05-24,2021-04-29
H0636,RTHWA,E04,2021-04-27,2021-05-25,2021-05-04
H0637,EENQU,E06,2021-04-27,2021-05-25,2021-05-04
H0638,NODLI,E03,2021-04-28,2021-05-26,2021-05-10
H0639,NTGSA,E07,2021-04-28,2021-05-26,2021-05-05
H0640,NDKWA,E04,2021-04-29,2021-05-27,2021-05-06
H0641,LAAHI,E04,2021-04-30,2021-05-28,2021-05-04
H0642,MOBSI,E07,2021-04-30,2021-05-28,2021-05-14
H0643,NDKWA,E06,2021-05-03,2021-05-31,2021-05-11
H0644,LLIWE,E03,2021-05-03,2021-05-31,2021-05-10
H0645,NARHA,E04,2021-05-04,2021-06-01,2021-05-11
H0646,NGOHU,E09,2021-05-05,2021-06-16,2021-05-12
H0647,EDEQU,E04,2021-05-05,2021-05-19,2021-05-12
H0648,CARRI,E04,2021-05-06,2021-06-17,2021-05-18
H0649,ISDMA,E04,2021-05-06,2021-06-03,2021-05-07
H0650,MIAFA,E04,2021-05-07,2021-06-04,2021-05-12
H0651,NDKWA,E07,2021-05-10,2021-06-07,2021-05-20
H0652,URLGO,E04,2021-05-10,2021-06-07,2021-05-17
H0653,ANKFR,E01,2021-05-11,2021-06-08,2021-05-28
H0654,RGSBE,E04,2021-05-11,2021-06-08,2021-05-20
H0655,GGCRE,E01,2021-05-12,2021-06-09,2021-05-20
H0656,EALGR,E06,2021-05-13,2021-06-10,2021-05-19
H0657,VEASA,E03,2021-05-13,2021-06-10,2021-05-24
H0658,ICKQU,E04,2021-05-14,2021-06-11,2021-05-17
H0659,EENQU,E07,2021-05-14,2021-06-11,2021-05-19
H0660,NGCHU,E07,2021-05-17,2021-06-14,2021-06-23
H0661,NGOHU,E07,2021-05-18,2021-06-15,2021-05-24
