주문번호,제품번호,단가,주문수량,할인율
H0393,25,1100,7,0.25
H0393,26,2500,70,0.25
H0393,31,1000,32,0
H0394,13,500,10,0
H0394,62,3900,10,0
H0395,46,1000,28,0.100000001
H0395,53,2600,70,0.100000001
H0395,69,2900,8,0
H0396,23,700,40,0
H0396,71,1700,60,0
H0396,72,2800,21,0
H0397,21,800,10,0.150000006
H0397,51,4200,18,0.150000006
H0398,35,1400,30,0
H0398,55,1900,120,0.100000001
H0399,68,1000,60,0
H0399,71,1700,30,0
H0399,76,1400,35,0
H0399,77,1000,14,0
H0400,29,9900,21,0
H0400,35,1400,35,0
H0400,49,1600,30,0
H0401,30,2100,18,0
H0401,56,3000,70,0
H0401,65,1700,20,0
H0401,71,1700,60,0
H0402,23,700,60,0
H0402,63,3500,65,0
H0403,16,1400,21,0.150000006
H0403,48,1000,70,0.150000006
H0404,26,2500,30,0.050000001
H0404,42,1100,40,0.050000001
H0404,49,1600,30,0.050000001
H0405,3,800,50,0
H0406,1,1400,10,0
H0406,21,800,30,0.100000001
H0406,28,3600,42,0.100000001
H0406,36,1500,5,0.100000001
H0406,40,1500,2,0.100000001
H0407,11,1700,30,0
H0407,69,2900,15,0
H0407,71,1700,15,0
H0408,37,2100,10,0
H0408,54,600,6,0
H0408,62,3900,35,0
H0409,14,1900,12,0
H0409,21,800,12,0
H0410,33,200,49,0
H0410,59,4400,16,0
H0411,41,800,25,0.200000003
H0411,44,1600,40,0.200000003
H0411,59,4400,9,0.200000003
H0412,14,1900,20,0.100000001
H0413,1,1400,24,0
H0413,62,3900,40,0
H0413,76,1400,14,0
H0414,19,700,18,0.050000001
H0414,33,200,50,0
H0415,17,3100,2,0
H0415,33,200,20,0
H0416,19,700,20,0
H0416,53,2600,10,0
H0416,57,1600,20,0
H0417,38,21100,50,0
H0417,46,1000,2,0.25
H0417,68,1000,36,0.25
H0417,77,1000,35,0
H0418,2,1500,60,0
H0418,47,800,55,0
H0418,61,2300,16,0
H0418,74,800,15,0
H0419,60,2700,60,0.050000001
H0419,69,2900,20,0.050000001
H0420,9,7800,20,0.100000001
H0420,13,500,2,0.100000001
H0420,70,1200,8,0.100000001
H0420,73,1200,20,0.100000001
H0421,19,700,4,0.150000006
H0421,26,2500,30,0
H0421,53,2600,15,0.150000006
H0421,77,1000,10,0.150000006
H0422,26,2500,2,0
H0423,31,1000,14,0
H0423,59,4400,20,0
H0424,35,1400,60,0.200000003
H0424,38,21100,49,0.200000003
H0424,68,1000,30,0.200000003
H0425,55,1900,10,0.25
H0425,76,1400,20,0.25
H0426,56,3000,5,0
H0426,64,2700,7,0
H0427,14,1900,35,0
H0428,46,1000,20,0
H0429,50,1300,40,0
H0429,63,3500,35,0.25
H0430,17,3100,45,0.200000003
H0430,21,800,50,0
H0430,56,3000,30,0
H0430,59,4400,70,0.200000003
H0431,17,3100,50,0.25
H0431,40,1500,50,0.25
H0431,47,800,30,0.25
H0432,26,2500,10,0
H0432,54,600,40,0
H0433,56,3000,28,0
H0434,11,1700,6,0
H0434,76,1400,18,0.150000006
H0435,2,1500,10,0
H0435,22,1700,12,0
H0435,72,2800,10,0
H0436,46,1000,5,0
H0436,56,3000,40,0.100000001
H0436,64,2700,30,0.100000001
H0436,75,600,24,0.100000001
H0437,53,2600,15,0
H0438,19,700,15,0.200000003
H0438,34,1100,20,0.200000003
H0438,57,1600,15,0.200000003
H0439,12,3000,15,0
H0439,16,1400,16,0
H0439,64,2700,6,0
H0439,74,800,30,0
H0440,2,1500,45,0.150000006
H0440,16,1400,49,0.150000006
H0440,29,9900,24,0.150000006
H0440,61,2300,90,0.150000006
H0441,27,3500,50,0
H0442,11,1700,30,0
H0442,54,600,80,0
H0442,66,1400,60,0
H0443,11,1700,6,0.200000003
H0443,28,3600,12,0
H0444,17,3100,10,0
H0444,26,2500,15,0
H0444,35,1400,8,0
H0444,41,800,30,0
H0445,39,1400,6,0
H0445,54,600,15,0
H0446,19,700,12,0.100000001
H0446,24,400,20,0.100000001
H0446,31,1000,3,0.100000001
H0446,52,600,15,0.100000001
H0447,19,700,40,0
H0447,65,1700,35,0
H0447,71,1700,2,0
H0448,26,2500,6,0
H0448,40,1500,20,0
H0449,10,2500,14,0
H0449,52,600,20,0
H0449,62,3900,35,0
H0450,10,2500,20,0.200000003
H0450,54,600,6,0.200000003
H0451,55,1900,120,0.100000001
H0451,64,2700,35,0.100000001
H0451,65,1700,28,0.100000001
H0451,77,1000,55,0.100000001
H0452,28,3600,15,0
H0452,44,1600,100,0.050000001
H0453,48,1000,15,0.100000001
H0453,70,1200,25,0.100000001
H0454,16,1400,20,0.200000003
H0454,33,200,20,0.200000003
H0454,46,1000,10,0.200000003
H0455,39,1400,20,0
H0455,53,2600,50,0
H0455,61,2300,25,0
H0455,71,1700,30,0
H0456,21,800,40,0.150000006
H0456,49,1600,21,0.150000006
H0457,59,4400,36,0
H0458,26,2500,30,0
H0458,28,3600,30,0
H0458,43,3700,20,0
H0458,56,3000,15,0
H0458,71,1700,50,0
H0459,7,2400,16,0.050000001
H0459,46,1000,20,0.050000001
H0459,72,2800,40,0
H0460,68,1000,21,0.25
H0460,75,600,4,0.25
H0461,21,800,40,0.25
H0461,30,2100,28,0.25
H0461,55,1900,60,0.25
H0462,13,500,1,0
H0462,23,700,21,0
H0463,19,700,21,0
H0463,42,1100,50,0
H0464,4,1800,16,0.200000003
H0464,43,3700,3,0
H0464,56,3000,30,0.200000003
H0464,60,2700,20,0
H0465,24,400,25,0
H0465,29,9900,18,0.100000001
H0465,40,1500,20,0
H0465,45,800,30,0.100000001
H0465,50,1300,25,0
H0466,11,1700,10,0
H0466,46,1000,5,0
H0467,24,400,28,0
H0467,25,1100,12,0
H0468,30,2100,8,0
H0468,43,3700,15,0
H0469,2,1500,40,0.150000006
H0469,16,1400,35,0.150000006
H0469,44,1600,2,0.150000006
H0470,18,5000,30,0
H0470,23,700,15,0
H0470,64,2700,8,0
H0471,7,2400,30,0
H0471,56,3000,20,0
H0472,24,400,80,0.050000001
H0472,51,4200,18,0
H0473,33,200,12,0
H0473,71,1700,12,0
H0474,14,1900,12,0
H0474,28,3600,18,0
H0474,40,1500,21,0
H0474,75,600,10,0
H0475,31,1000,35,0.150000006
H0475,66,1400,60,0.150000006
H0475,76,1400,42,0.150000006
H0476,55,1900,2,0.050000001
H0476,70,1200,12,0
H0477,1,1400,15,0
H0477,21,800,21,0.25
H0477,39,1400,20,0.25
H0478,10,2500,20,0.050000001
H0479,38,21100,30,0
H0479,53,2600,28,0
H0479,59,4400,60,0
H0479,64,2700,30,0
H0480,47,800,30,0
H0480,59,4400,12,0
H0481,49,1600,24,0
H0481,60,2700,40,0
H0482,40,1500,10,0
H0483,34,1100,35,0.050000001
H0483,77,1000,30,0.050000001
H0484,21,800,14,0
H0484,40,1500,10,0
H0484,51,4200,3,0
H0485,2,1500,20,0.100000001
H0485,3,800,20,0.100000001
H0485,55,1900,30,0.100000001
H0485,70,1200,60,0.100000001
H0486,11,1700,5,0
H0486,51,4200,25,0
H0486,74,800,16,0
H0487,19,700,5,0
H0487,26,2500,30,0
H0487,54,600,24,0.25
H0488,59,4400,30,0
H0488,73,1200,20,0.200000003
H0489,11,1700,15,0.25
H0489,16,1400,18,0
H0490,59,4400,60,0
H0490,68,1000,30,0
H0490,75,600,36,0
H0491,44,1600,15,0.150000006
H0491,77,1000,7,0.150000006
H0492,25,1100,60,0.050000001
H0492,42,1100,20,0.050000001
H0493,65,1700,15,0.100000001
H0493,66,1400,10,0.100000001
H0493,69,2900,10,0.100000001
H0494,56,3000,30,0
H0495,23,700,10,0
H0495,41,800,20,0
H0495,77,1000,5,0
H0496,31,1000,20,0.050000001
H0497,56,3000,14,0
H0497,72,2800,25,0
H0497,77,1000,25,0
H0498,24,500,14,0
H0498,40,1800,5,0
H0498,42,1400,30,0
H0499,28,4600,20,0
H0499,49,2000,25,0
H0500,15,1600,12,0.050000001
H0500,28,4600,8,0.050000001
H0501,54,700,20,0
H0502,45,1000,21,0
H0502,53,3300,6,0
H0502,67,1400,30,0
H0503,14,2300,70,0
H0503,65,2100,20,0
H0504,2,1900,12,0
H0504,21,1000,12,0
H0504,53,3300,10,0
H0504,61,2900,25,0
H0505,62,4900,3,0
H0506,25,1400,18,0.100000001
H0506,70,1500,14,0.100000001
H0507,43,4600,15,0.150000006
H0507,48,1300,15,0.150000006
H0508,13,600,10,0
H0508,39,1800,10,0
H0509,28,4600,3,0
H0510,29,12400,36,0
H0510,75,800,36,0.100000001
H0511,4,2200,50,0.150000006
H0511,7,3000,50,0.150000006
H0511,8,4000,10,0.150000006
H0512,24,500,10,0.150000006
H0512,46,1200,9,0.150000006
H0512,47,1000,6,0.150000006
H0512,60,3400,12,0.150000006
H0513,21,1000,40,0.200000003
H0513,32,3200,50,0.200000003
H0513,61,2900,15,0.200000003
H0514,20,8100,39,0
H0514,28,4600,35,0
H0514,56,3800,70,0
H0514,65,2100,39,0
H0514,75,800,50,0
H0515,9,9700,16,0.150000006
H0515,16,1700,50,0
H0515,27,4400,120,0
H0515,33,300,16,0.150000006
H0515,60,3400,84,0.150000006
H0516,18,6300,25,0.100000001
H0516,41,1000,80,0.100000001
H0516,42,1400,20,0
H0517,52,700,6,0
H0517,59,5500,4,0
H0517,70,1500,6,0
H0518,24,500,5,0
H0518,38,26400,15,0
H0518,44,1900,9,0
H0519,10,3100,16,0.050000001
H0519,56,3800,40,0
H0519,60,3400,10,0.050000001
H0520,24,500,8,0
H0520,53,3300,5,0
H0521,35,1800,3,0
H0521,41,1000,10,0
H0521,68,1300,6,0
H0522,1,1800,40,0.200000003
H0522,8,4000,24,0
H0522,30,2600,20,0.200000003
H0522,40,1800,25,0.200000003
H0523,17,3900,25,0.100000001
H0523,20,8100,15,0.100000001
H0523,37,2600,18,0.100000001
H0523,41,1000,6,0.100000001
H0524,10,3100,2,0
H0524,30,2600,10,0
H0524,43,4600,60,0
H0524,54,700,15,0
H0525,36,1900,30,0
H0525,40,1800,15,0.100000001
H0526,1,1800,8,0.150000006
H0526,13,600,10,0
H0526,56,3800,30,0.150000006
H0527,4,2200,50,0.100000001
H0527,36,1900,30,0.100000001
H0528,11,2100,3,0
H0528,33,300,8,0.200000003
H0528,72,3500,9,0
H0529,55,2400,14,0
H0529,68,1300,20,0
H0529,69,3600,10,0
H0530,17,3900,40,0
H0530,43,4600,25,0
H0530,61,2900,20,0
H0530,76,1800,50,0
H0531,59,5500,2,0
H0532,30,2600,15,0
H0532,66,1700,24,0
H0533,4,2200,50,0.050000001
H0533,72,3500,24,0
H0533,73,1500,24,0.050000001
H0534,30,2600,10,0
H0534,40,1800,10,0.200000003
H0534,54,700,10,0.200000003
H0535,11,2100,50,0.100000001
H0535,40,1800,10,0.100000001
H0535,57,2000,5,0.100000001
H0535,59,5500,15,0.100000001
H0536,12,3800,15,0.25
H0536,31,1300,20,0
H0536,33,300,30,0
H0536,60,3400,35,0.25
H0537,31,1300,30,0
H0537,51,5300,6,0
H0537,58,1300,20,0
H0537,72,3500,21,0
H0537,73,1500,9,0
H0538,70,1500,7,0
H0538,72,3500,1,0
H0539,13,600,8,0
H0539,21,1000,15,0
H0539,33,300,15,0
H0539,49,2000,6,0
H0540,3,1000,60,0
H0540,26,3100,40,0
H0540,38,26400,30,0
H0540,68,1300,35,0
H0541,24,500,35,0.100000001
H0541,38,26400,4,0.100000001
H0541,65,2100,36,0.100000001
H0541,71,2200,9,0.100000001
H0542,11,2100,15,0.050000001
H0542,54,700,24,0.050000001
H0543,12,3800,30,0.150000006
H0543,23,900,70,0.150000006
H0544,28,4600,7,0
H0544,67,1400,7,0
H0545,11,2100,10,0
H0546,7,3000,10,0
H0546,35,1800,30,0
H0546,62,4900,40,0
H0547,32,3200,24,0.150000006
H0547,36,1900,60,0
H0548,34,1400,10,0.25
H0548,41,1000,14,0
H0549,31,1300,55,0.150000006
H0549,45,1000,100,0.150000006
H0549,51,5300,48,0.150000006
H0550,17,3900,8,0.100000001
H0550,19,900,10,0
H0550,21,1000,6,0.100000001
H0550,61,2900,10,0.100000001
H0551,16,1700,40,0.150000006
H0551,35,1800,20,0.150000006
H0551,44,1900,40,0
H0552,69,3600,18,0
H0552,75,800,30,0
H0553,11,2100,15,0
H0553,16,1700,14,0
H0553,22,2100,24,0
H0553,31,1300,30,0
H0553,35,1800,6,0
H0554,16,1700,30,0.050000001
H0554,23,900,20,0.050000001
H0554,62,4900,20,0.050000001
H0554,77,1300,10,0.050000001
H0555,14,2300,30,0.200000003
H0555,19,900,35,0.200000003
H0555,24,500,18,0.200000003
H0555,51,5300,20,0.200000003
H0555,56,3800,40,0.200000003
H0556,72,3500,24,0
H0557,64,3300,30,0
H0557,75,800,20,0
H0558,47,1000,25,0
H0558,51,5300,20,0
H0558,52,700,30,0
H0558,53,3300,18,0
H0558,73,1500,3,0
H0559,41,1000,12,0.050000001
H0559,55,2400,18,0.050000001
H0560,30,2600,20,0
H0560,62,4900,15,0.25
H0561,44,1900,10,0
H0561,51,5300,50,0
H0562,33,300,20,0.100000001
H0562,62,4900,10,0.100000001
H0563,36,1900,25,0
H0563,52,700,70,0
H0564,17,3900,16,0.050000001
H0564,31,1300,6,0.050000001
H0564,55,2400,25,0.050000001
H0565,24,500,25,0.100000001
H0565,64,3300,18,0.100000001
H0566,11,2100,35,0.150000006
H0566,18,6300,18,0.150000006
H0566,76,1800,10,0
H0567,31,1300,60,0.200000003
H0567,51,5300,3,0
H0567,59,5500,40,0.200000003
H0568,10,3100,5,0
H0569,31,1300,35,0.200000003
H0569,76,1800,30,0
H0570,11,2100,15,0.050000001
H0570,56,3800,60,0.050000001
H0571,14,2300,11,0.150000006
H0571,42,1400,28,0.150000006
H0572,16,1700,12,0.100000001
H0572,32,3200,10,0.100000001
H0572,40,1800,50,0
H0572,75,800,15,0.100000001
H0573,17,3900,18,0
H0573,34,1400,40,0
H0573,53,3300,25,0
H0574,33,300,14,0
H0574,40,1800,2,0
H0574,62,4900,10,0
H0574,64,3300,6,0
H0575,59,5500,12,0
H0575,63,4400,6,0
H0575,72,3500,30,0
H0575,76,1800,10,0
H0576,1,1800,10,0
H0576,31,1300,20,0
H0576,44,1900,21,0
H0577,39,1800,10,0
H0577,75,800,20,0
H0577,77,1300,18,0
H0578,35,1800,20,0
H0578,57,2000,6,0
H0579,15,1600,10,0
H0579,75,800,21,0
H0580,14,2300,15,0.050000001
H0580,41,1000,9,0.050000001
H0580,65,2100,30,0.050000001
H0581,75,800,50,0.200000003
H0582,57,2000,4,0
H0582,76,1800,14,0
H0583,29,12400,10,0
H0583,60,3400,24,0.150000006
H0583,69,3600,10,0.150000006
H0584,31,1300,50,0.050000001
H0585,47,1000,15,0
H0586,52,700,4,0.150000006
H0587,26,3100,6,0
H0587,35,1800,20,0
H0587,77,1300,20,0
H0588,18,6300,40,0.200000003
H0588,42,1400,100,0.200000003
H0589,35,1800,4,0
H0590,1,1800,20,0
H0590,77,1300,60,0.050000001
H0591,3,1000,14,0
H0591,7,3000,10,0
H0591,54,700,50,0
H0592,15,1600,25,0.050000001
H0592,26,3100,5,0.050000001
H0593,20,8100,21,0.200000003
H0593,69,3600,20,0.200000003
H0593,76,1800,4,0.200000003
H0594,52,700,24,0
H0594,58,1300,30,0
H0595,35,1800,30,0.25
H0595,61,2900,120,0.25
H0595,69,3600,65,0.25
H0596,56,3800,5,0.200000003
H0596,63,4400,24,0.200000003
H0596,75,800,30,0.200000003
H0597,24,500,35,0.200000003
H0597,57,2000,20,0
H0597,65,2100,12,0.200000003
H0598,27,4400,50,0
H0598,71,2200,9,0
H0599,62,4900,10,0
H0600,54,700,4,0
H0600,73,1500,30,0
H0601,13,600,60,0
H0601,59,5500,35,0
H0602,77,1300,5,0.25
H0603,22,2100,48,0
H0603,49,2000,25,0.050000001
H0604,48,1300,6,0.100000001
H0604,76,1800,10,0.100000001
H0605,16,1700,30,0.050000001
H0605,59,5500,20,0.050000001
H0605,60,3400,70,0.050000001
H0605,71,2200,15,0.050000001
H0606,4,2200,20,0.200000003
H0606,55,2400,20,0.200000003
H0606,62,4900,10,0.200000003
H0607,7,3000,45,0
H0607,17,3900,100,0
H0607,33,300,14,0
H0607,40,1800,42,0
H0607,72,3500,12,0
H0608,56,3800,28,0
H0609,1,1800,3,0
H0609,10,3100,10,0
H0609,21,1000,6,0
H0610,36,1900,21,0.25
H0611,1,1800,6,0
H0611,2,1900,10,0
H0611,60,3400,15,0
H0612,10,3100,70,0
H0612,36,1900,55,0
H0612,49,2000,18,0
H0612,60,3400,40,0
H0612,76,1800,80,0
H0613,13,600,8,0.100000001
H0613,75,800,40,0
H0614,11,2100,14,0
H0614,21,1000,8,0
H0614,39,1800,5,0
H0615,55,2400,5,0
H0616,38,26400,15,0.050000001
H0616,56,3800,14,0
